log_date,rank_date,regime,ic_t1,ic_t5,ic_t20
2026-06-13,2026-06-08,RANGE_BOUND,0.0211,,
2026-06-13,2026-06-09,RANGE_BOUND,-0.273,,
2026-06-13,2026-06-10,RANGE_BOUND,-0.1208,,
2026-06-13,2026-06-11,RANGE_BOUND,0.0705,,
2026-06-13,2026-06-12,RANGE_BOUND,,,
2026-06-20,2026-06-08,RANGE_BOUND,0.0211,,
2026-06-20,2026-06-09,RANGE_BOUND,-0.273,,
2026-06-20,2026-06-10,RANGE_BOUND,-0.1208,,
2026-06-20,2026-06-11,RANGE_BOUND,0.0705,,
2026-06-20,2026-06-12,RANGE_BOUND,,,
2026-06-27,2026-06-08,RANGE_BOUND,0.0211,,
2026-06-27,2026-06-09,RANGE_BOUND,-0.273,,
2026-06-27,2026-06-10,RANGE_BOUND,-0.1208,,
2026-06-27,2026-06-11,RANGE_BOUND,0.0705,,
2026-06-27,2026-06-12,RANGE_BOUND,,,
2026-07-04,2026-06-08,RANGE_BOUND,0.0211,,
2026-07-04,2026-06-09,RANGE_BOUND,-0.273,,
2026-07-04,2026-06-10,RANGE_BOUND,-0.1208,,
2026-07-04,2026-06-11,RANGE_BOUND,0.0705,,
2026-07-04,2026-06-12,RANGE_BOUND,,,
2026-07-11,2026-06-08,RANGE_BOUND,0.0211,,
2026-07-11,2026-06-09,RANGE_BOUND,-0.273,,
2026-07-11,2026-06-10,RANGE_BOUND,-0.1208,,
2026-07-11,2026-06-11,RANGE_BOUND,0.0705,,
2026-07-11,2026-06-12,RANGE_BOUND,,,
2026-07-17,2026-06-08,RANGE_BOUND,0.0211,,
2026-07-17,2026-06-09,RANGE_BOUND,-0.273,,
2026-07-17,2026-06-10,RANGE_BOUND,-0.1208,,
2026-07-17,2026-06-11,RANGE_BOUND,0.0705,,
2026-07-17,2026-06-12,RANGE_BOUND,,,
2026-07-24,2026-06-08,RANGE_BOUND,0.0211,,
2026-07-24,2026-06-09,RANGE_BOUND,-0.273,,
2026-07-24,2026-06-10,RANGE_BOUND,-0.1208,,
2026-07-24,2026-06-11,RANGE_BOUND,0.0705,,
2026-07-24,2026-06-12,RANGE_BOUND,,,
2026-07-31,2026-06-08,RANGE_BOUND,0.0211,,
2026-07-31,2026-06-09,RANGE_BOUND,-0.273,,
2026-07-31,2026-06-10,RANGE_BOUND,-0.1208,,
2026-07-31,2026-06-11,RANGE_BOUND,0.0705,,
2026-07-31,2026-06-12,RANGE_BOUND,,,
2026-08-07,2026-06-08,RANGE_BOUND,0.0211,,
2026-08-07,2026-06-09,RANGE_BOUND,-0.273,,
2026-08-07,2026-06-10,RANGE_BOUND,-0.1208,,
2026-08-07,2026-06-11,RANGE_BOUND,0.0705,,
2026-08-07,2026-06-12,RANGE_BOUND,,,
2026-08-14,2026-06-08,RANGE_BOUND,0.0211,,
2026-08-14,2026-06-09,RANGE_BOUND,-0.273,,
2026-08-14,2026-06-10,RANGE_BOUND,-0.1208,,
2026-08-14,2026-06-11,RANGE_BOUND,0.0705,,
2026-08-14,2026-06-12,RANGE_BOUND,,,
2026-08-21,2026-06-08,RANGE_BOUND,0.0211,,
2026-08-21,2026-06-09,RANGE_BOUND,-0.273,,
2026-08-21,2026-06-10,RANGE_BOUND,-0.1208,,
2026-08-21,2026-06-11,RANGE_BOUND,0.0705,,
2026-08-21,2026-06-12,RANGE_BOUND,,,
2026-08-29,2026-06-08,RANGE_BOUND,0.0211,,
2026-08-29,2026-06-09,RANGE_BOUND,-0.273,,
2026-08-29,2026-06-10,RANGE_BOUND,-0.1208,,
2026-08-29,2026-06-11,RANGE_BOUND,0.0705,,
2026-08-29,2026-06-12,RANGE_BOUND,,,
2026-09-04,2026-06-08,RANGE_BOUND,0.0211,,
2026-09-04,2026-06-09,RANGE_BOUND,-0.273,,
2026-09-04,2026-06-10,RANGE_BOUND,-0.1208,,
2026-09-04,2026-06-11,RANGE_BOUND,0.0705,,
2026-09-04,2026-06-12,RANGE_BOUND,,,
2026-09-11,2026-06-08,RANGE_BOUND,0.0211,,
2026-09-11,2026-06-09,RANGE_BOUND,-0.273,,
2026-09-11,2026-06-10,RANGE_BOUND,-0.1208,,
2026-09-11,2026-06-11,RANGE_BOUND,0.0705,,
2026-09-11,2026-06-12,RANGE_BOUND,,,
