date,ticker,price
2026-06-08,ORCL,213.68
2026-06-08,INTC,99.17
2026-06-08,PFE,26.04
2026-06-08,HD,310.78
2026-06-08,JNJ,232.77
2026-06-08,CAT,904.28
2026-06-08,GS,1038.68
2026-06-08,IBM,284.84
2026-06-08,CRM,185.66
2026-06-08,MSFT,416.67
2026-06-08,ABBV,227.23
2026-06-08,CVX,187.31
2026-06-08,MCD,279.84
2026-06-08,GOOGL,368.53
2026-06-08,AAPL,307.34
2026-06-08,NVDA,205.1
2026-06-08,KO,79.48
2026-06-08,XOM,149.92
2026-06-08,AMZN,246.03
2026-06-08,COP,117.14
2026-06-08,WMT,118.88
2026-06-08,BA,215.45
2026-06-08,UNH,399.47
2026-06-08,V,323.57
2026-06-08,JPM,312.37
2026-06-08,MA,491.08
2026-06-08,BAC,53.83
2026-06-08,PG,146.54
2026-06-08,META,593.0
2026-06-08,MRK,120.79
2026-06-09,ORCL,211.82
2026-06-09,INTC,110.27
2026-06-09,PFE,25.62
2026-06-09,HD,309.71
2026-06-09,JNJ,232.16
2026-06-09,CAT,915.64
2026-06-09,GS,1045.0
2026-06-09,IBM,280.82
2026-06-09,ABBV,223.07
2026-06-09,CRM,182.55
2026-06-09,MSFT,411.74
2026-06-09,CVX,189.24
2026-06-09,MCD,277.78
2026-06-09,GOOGL,363.31
2026-06-09,AAPL,301.54
2026-06-09,KO,79.54
2026-06-09,AMZN,245.22
2026-06-09,NVDA,208.64
2026-06-09,XOM,151.75
2026-06-09,COP,118.89
2026-06-09,WMT,119.83
2026-06-09,UNH,406.57
2026-06-09,BA,215.92
2026-06-09,V,319.67
2026-06-09,JPM,311.11
2026-06-09,MA,485.67
2026-06-09,BAC,53.63
2026-06-09,PG,145.1
2026-06-09,META,585.39
2026-06-09,MRK,119.52
2026-06-10,ORCL,205.81
2026-06-10,INTC,107.92
2026-06-10,PFE,25.7
2026-06-10,HD,321.33
2026-06-10,JNJ,237.0
2026-06-10,ABBV,225.42
2026-06-10,CAT,914.7
2026-06-10,GS,1032.01
2026-06-10,IBM,277.49
2026-06-10,CRM,175.35
2026-06-10,MSFT,403.41
2026-06-10,CVX,186.76
2026-06-10,MCD,282.25
2026-06-10,GOOGL,364.26
2026-06-10,AAPL,290.55
2026-06-10,KO,81.34
2026-06-10,NVDA,208.19
2026-06-10,AMZN,244.19
2026-06-10,XOM,148.91
2026-06-10,COP,116.79
2026-06-10,WMT,118.88
2026-06-10,UNH,413.0
2026-06-10,BA,214.51
2026-06-10,V,325.05
2026-06-10,JPM,312.7
2026-06-10,MA,495.24
2026-06-10,BAC,54.42
2026-06-10,PG,148.67
2026-06-10,META,584.59
2026-06-10,MRK,119.6
2026-06-11,ORCL,201.26
2026-06-11,UNH,407.46
2026-06-11,HD,318.92
2026-06-11,PFE,25.6
2026-06-11,JNJ,238.49
2026-06-11,INTC,107.04
2026-06-11,ABBV,224.95
2026-06-11,CAT,856.16
2026-06-11,GS,1001.29
2026-06-11,IBM,272.36
2026-06-11,CRM,170.92
2026-06-11,MSFT,397.36
2026-06-11,CVX,189.8
2026-06-11,MCD,282.52
2026-06-11,GOOGL,356.38
2026-06-11,AAPL,291.58
2026-06-11,KO,83.59
2026-06-11,NVDA,200.42
2026-06-11,XOM,150.62
2026-06-11,COP,119.92
2026-06-11,BA,209.0
2026-06-11,WMT,120.59
2026-06-11,V,322.96
2026-06-11,JPM,309.14
2026-06-11,MA,489.08
2026-06-11,BAC,54.54
2026-06-11,AMZN,238.0
2026-06-11,PG,149.05
2026-06-11,META,570.98
2026-06-11,MRK,119.09
2026-06-12,ORCL,184.1
2026-06-12,HD,326.01
2026-06-12,UNH,405.55
2026-06-12,PFE,26.17
2026-06-12,INTC,116.96
2026-06-12,ABBV,224.77
2026-06-12,CAT,897.63
2026-06-12,GS,1035.64
2026-06-12,IBM,274.85
2026-06-12,MSFT,390.34
2026-06-12,CVX,185.82
2026-06-12,CRM,166.45
2026-06-12,MCD,284.77
2026-06-12,GOOGL,357.77
2026-06-12,XOM,146.6
2026-06-12,AAPL,295.63
2026-06-12,NVDA,204.87
2026-06-12,KO,82.53
2026-06-12,COP,115.36
2026-06-12,BA,221.63
2026-06-12,JPM,313.49
2026-06-12,V,319.05
2026-06-12,MA,486.51
2026-06-12,BAC,55.16
2026-06-12,WMT,120.5
2026-06-12,PG,148.34
2026-06-12,AMZN,241.51
2026-06-12,JNJ,238.33
2026-06-12,META,568.43
2026-06-12,MRK,120.76
